Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
0610007C21Rik	53.942	16.955	34.148	21.423	18.54	21.692
0610007L01Rik	15.658	14.555	12.153	8.919	12.508	6.533
0610007P08Rik	4.976	3.373	3.726	1.946	6.897	2.176
0610007P14Rik	31.6	12.461	24.634	20.885	15.771	25.884
0610007P22Rik	13.119	13.239	21.44	25.173	16.637	18.528
0610009B22Rik	75.654	38.484	98.977	82.914	73.851	80.15
0610009D07Rik	49.815	33.045	55.671	91.204	24.679	58.403
0610009O20Rik	6.851	3.748	5.642	3.85	7.684	4.792
0610010B08Rik	8.36	5.235	11.18	8.421	12.172	8.191
0610010F05Rik	15.115	13.038	17.339	8.476	21.927	8.285
0610010K14Rik	37.343	20.505	36.074	34.627	23.035	32.462
0610010O12Rik	23.619	26.824	16.674	21.292	11.081	31.107
0610011F06Rik	62.775	38.595	48.756	43.678	31.644	25.763
0610011L14Rik	11.366	13.609	12.523	17.119	10.401	12.524
0610030E20Rik	4.014	2.508	5.227	1.679	6.002	3.013
0610031J06Rik	10.006	8.4	6.858	9.11	5.885	9.249
0610037L13Rik	42.697	21.256	48.374	44.066	27.858	35.953
0610037P05Rik	53.091	24.826	69.265	79.24	38.771	51.057
0910001L09Rik	45.957	18.524	32.306	46.949	19.384	47.321
1110001A16Rik	33.693	7.983	38.052	25.07	10.969	17.195
1110001J03Rik	135.285	57.581	138.226	166.319	54.24	87.941
1110002B05Rik	18.919	7.655	19.317	10.824	13.832	5.81
1110002N22Rik	9.374	6.071	9.228	5.893	8.552	15.975
1110003E01Rik	60.914	72.949	62.506	66.431	56.657	55.05
1110004E09Rik	42.578	23.882	50.118	59.484	51.864	38.556
1110004F10Rik	129.643	92.833	143.196	125.916	106.717	131.317
1110005A03Rik	6.189	3.347	4.361	4.492	6.608	3.122
1110007A13Rik	9.838	11.902	8.291	8.133	8.57	8.223
1110007C09Rik	6.678	4.444	8.484	12.233	7.861	13.053
1110008F13Rik	21.804	12.3	25.186	53.251	19.441	43.082
1110008J03Rik	7.408	5.817	10.445	11.684	7.955	7.334
1110008L16Rik	4.915	5.234	4.757	8.872	4.632	10.676
1110008P14Rik	81.02	37.127	80.222	168.981	42.296	158.426
1110012D08Rik	1.542	1.082	1.36	0.393	1.544	0.535
1110012J17Rik	4.764	16.843	5.387	7.604	7.052	9.445
1110012L19Rik	18.313	10.502	18.682	25.47	13.867	8.891
1110014N23Rik	11.514	13.889	14.195	13.242	11.556	13.344
1110017D15Rik	9.378	1.851	7.721	5.932	3.437	2.969
1110018G07Rik	9.43	10.924	9.129	12.577	17.457	35.579
1110018J18Rik	4.569	3.088	4.564	4.287	5.942	6.773
1110020G09Rik	9.77	7.123	9.789	3.707	12.223	6.246
1110021J02Rik	19.437	16.74	14.493	11.549	14.6	10.207
1110021L09Rik	6.336	2.91	4.682	2.393	5.794	2.214
1110028C15Rik	5.725	2.453	5.978	0.584	7.722	1.56
1110031I02Rik	3.785	3.103	3.107	4.088	3.506	2.752
1110032A03Rik	29.618	9.653	34.768	24.228	29.547	29.994
1110032A04Rik	1.61	2.253	2.564	10.051	3.632	9.186
1110032A13Rik	9.753	6.831	15.816	22.782	7.284	14.464
1110032F04Rik	1.234	0.628	1.647	1.358	1.606	0.111
1110034A24Rik	3.165	2.654	3.976	6.19	4.191	4.392
1110034B05Rik	7.506	8.105	8.692	6.921	8.298	8.753
1110034G24Rik	5.948	2.559	3.275	4.42	2.185	4.897
1110036O03Rik	6.349	3.161	5.053	1.338	3.265	2.144
1110037F02Rik	7.062	11.745	6.382	6.045	8.026	6.19
1110038D17Rik	2.278	3.487	3.622	2.635	3.089	2.344
1110038F14Rik	9.166	5.279	12.099	11.296	6.836	14.94
1110049F12Rik	68.876	43.274	85.254	64.598	43.859	31.853
1110051M20Rik	50.379	36.833	46.3	35.378	29.267	20.079
1110054O05Rik	4.157	2.653	5.922	4.393	8.044	6.147
1110057K04Rik	26.023	17.181	23.018	14.526	25.392	15.217
1110058L19Rik	44.723	14	37.829	47.485	17.89	21.026
1110059E24Rik	36.069	15.013	48.666	34.437	49.107	40.387
1110059G10Rik	6.989	2.695	8.758	5.79	6.602	9.112
1110065P20Rik	28.978	8.266	41.548	35.001	13.826	11.857
1110067D22Rik	24.616	15.045	25.272	20.04	26.906	22.582
1190002A17Rik	0.633	1.183	1.306	1.009	0.521	1.519
1190002H23Rik	8.776	1.981	10.542	9.757	8.823	10.125
1190002N15Rik	9.331	7.526	7.185	5.528	9.366	7.089
1190005F20Rik	14.253	14.802	11.347	17.514	15.886	21.819
1190005I06Rik	5.419	1.817	4.354	1.703	2.079	0.715
1190007F08Rik	5.149	3.34	6.656	10.854	3.267	8.02
1190007I07Rik	19.38	9.669	21.693	20.692	13.995	16.271
1200009O22Rik	3.798	2.183	2.172	2.302	2.858	4.327
1200011I18Rik	13.218	10.585	14.547	10.19	15.635	9.55
1200011M11Rik	4.528	8.135	4.502	3.752	5.159	4.917
1200014J11Rik	15.155	10.343	12.7	7.082	13.033	6.168
1200016B10Rik	5.096	6.183	4.655	3.136	7.368	6.099
1300001I01Rik	15.127	26.234	17.431	14.403	16.48	13.253
1300003B13Rik	7.549	5.027	6.836	4.426	6.751	7.636
1300010F03Rik	3.939	6.472	3.507	3.047	5.002	5.907
1300014I06Rik	3.152	1.807	2.472	6.634	2.212	3.593
1300018I17Rik	6.321	4.852	8.839	6.388	7.764	6.162
1300018J18Rik	2.537	4.556	3.481	3.1	3.087	2.456
1500001M20Rik	8.016	4.862	8.918	8.363	7.617	5.891
1500002F19Rik	0.637	0.387	0.377	0.471	0.364	2.036
1500002O20Rik	6.059	7.236	7.394	10.12	6.176	10.13
1500003O03Rik	107.087	94.6	108.478	100.999	97.63	78.132
1500009C09Rik	89.419	40.86	74.445	71.434	43.261	71.321
1500009L16Rik	26.927	11.292	33.836	21.361	14.329	15.581
1500010J02Rik	5.984	11.677	5.909	5.542	5.611	7.868
1500011H22Rik	113.157	104.298	131.788	180.349	74.553	176.978
1500012F01Rik	107.249	13.427	86.541	56.582	34.258	36.197
1500031L02Rik	51.636	36.242	73.832	64.19	45.967	50.787
1500032L24Rik	200.002	84.941	253.328	262.584	95.562	181.024
1500035N22Rik	5.748	0.936	3.143	1.734	3.402	2.868
1520402A15Rik	5.342	3.672	5.615	6.659	3.971	1.972
1600002H07Rik	4.997	2.171	4.616	3.218	3.891	1.666
1600002K03Rik	2.342	1.098	3.663	3.457	2.511	0.44
1600012F09Rik	16.495	9.165	19.795	14.482	23.581	18.992
1600012H06Rik	3.156	2.288	3.473	2.861	4.945	4.984
1600014C10Rik	26.314	9.839	25.236	10.18	18.217	9.392
1600021P15Rik	17.778	14.37	21.325	16.643	15.515	20.459
1600027N09Rik	2.503	0.759	2.841	1.678	2.24	1.161
1600029D21Rik	1.263	3.294	0.471	3.785	0.692	1.829
1700001L19Rik	21.009	10.514	20.657	26.185	10.849	11.82
1700001O22Rik	0.424	0.813	0.746	1.482	0.659	0.746
1700003E16Rik	4.204	4.904	5.049	5.733	3.376	3.328
1700003F12Rik	1.082	2.269	1.947	2.722	0.741	1.363
1700003M02Rik	0.309	1.138	1.001	0.194	0.889	1.056
1700007K13Rik	10.883	1.896	9.077	5.494	2.846	3.619
1700008B15Rik	0.502	0.18	0.361	0.789	0.619	1.174
1700008O03Rik	3.049	1.774	3.03	3.104	2.686	4.389
1700009P17Rik	9.104	1.889	4.844	1.532	1.37	1.338
1700010I14Rik	2.824	1.573	2.159	2.175	2.379	1.143
1700011I03Rik	0.617	1.084	1.085	0.69	0.507	0.197
1700012B09Rik	3.758	1.8	8.319	8.48	2.059	0.139
1700013F07Rik	1.008	0.724	2.256	3.238	0.92	4.19
1700015F17Rik	0.198	0.641	0.713	0.748	0.57	0.357
1700016D06Rik	4.276	2.653	3.32	0.92	4.319	1.248
1700016K19Rik	6.55	0.983	6.318	4.706	2.248	5.801
1700017B05Rik	2.338	3.138	2.272	2.585	1.8	1.141
1700019D03Rik	5.166	3.256	4.861	3.998	8.428	9.609
1700019E19Rik	27.169	15.633	25.674	15.891	13.993	16.705
1700019G17Rik	1.328	1.372	1.541	1.13	1.956	2.319
1700020C11Rik	49.717	19.35	47.493	46.988	27.595	22.792
1700020L24Rik	0.427	0.358	0.307	1.791	0.117	7.839
1700020O03Rik	10.318	11.135	11.611	7.635	11.359	8.752
1700021C14Rik	3.445	0.594	3.173	1.733	0.906	7.835
1700021F05Rik	43.036	36.819	55.984	92.63	29.731	60.345
1700023F06Rik	7.403	1.868	5.124	7.319	3.066	10.126
1700025G04Rik	18.006	8.692	18.799	15.142	20.309	23.952
1700025K23Rik	19.796	7.636	23.457	30.257	17.317	25.811
1700026D08Rik	11.68	2.283	7.188	0.193	2.905	0.258
1700028K03Rik	1.369	0.677	1.252	1.606	1.48	1.144
1700028P14Rik	0.535	0.22	0.659	0.288	0.251	0.385
1700029F09Rik	4.507	3.164	5.015	4.349	3.274	4.073
1700029F12Rik	0.353	0.507	0.465	0.443	0.725	0.423
1700029G01Rik	0.42	0.302	0.465	0.747	0.159	0.209
1700029I01Rik	1.918	0.792	1.823	1.658	1.441	3.126
1700029I15Rik	1.275	0.654	1.048	0.916	2.994	0.262
1700029J07Rik	1.767	0.365	1.323	0.335	1.99	1.324
1700030J22Rik	4.262	3.865	3.773	4.938	4.145	5.058
1700030K09Rik	2.358	3.561	2.767	2.59	3.429	2.185
1700034H14Rik	4.94	3.08	7.001	5.578	6.837	1.487
1700037C18Rik	3.082	1.346	2.957	2.963	1.689	0.957
1700037H04Rik	114.952	71.328	88.093	141.176	68.01	165.516
1700040I03Rik	2.328	2.069	6.128	6.548	2.77	5.158
1700040L02Rik	3.695	0.462	2.466	1.548	3.389	0.539
1700047I17Rik2	15.856	7.283	14.613	8.846	11.968	8.206
1700049G17Rik	2.224	1.666	1.722	1.035	2.08	1.824
1700052N19Rik	9.292	7.073	12.331	6.297	8.923	6.957
1700054N08Rik	2.852	2.745	4.515	3.399	5.504	5.175
1700056E22Rik	0.48	0.148	1.282	0.69	0.113	0.148
1700065D16Rik	0.74	0.378	0.55	0.12	0.839	0.582
1700066C05Rik	4.32	2.866	4.064	1.044	10.242	3.587
1700066J24Rik	55.99	78.259	65.686	90.883	159.845	145.33
1700066M21Rik	6.699	4.672	9.118	4.156	9.619	4.694
1700067K01Rik	0.55	0.352	0.176	1.153	1.257	2.2
1700081L11Rik	28.585	24.193	25.987	23.976	31.882	25.912
1700084C01Rik	4.051	1.522	2.021	0.405	2.157	1.491
1700088E04Rik	2.771	0.536	3.159	1.218	1.045	1.157
1700094D03Rik	9.634	2.275	6.002	1.493	5.487	1.426
1700102P08Rik	0.421	0.909	0.823	2.877	0.94	0.217
1700106N22Rik	12.53	11.058	12.728	10.252	15.108	9.912
1700110I01Rik	1.014	1.092	1.358	0.886	3.241	1.554
1700112E06Rik	0.8	0.105	0.524	0.732	0.718	0.471
1700113I22Rik	0.456	0.331	0.724	1.146	0.375	2.791
1700123O20Rik	17.3	12.153	14.65	34.146	10.493	26.185
1700125D06Rik	1.188	0.512	1.111	1.046	0.488	0.342
1810006K21Rik	82.768	21.208	51.578	50.647	28.988	51.126
1810008A18Rik	12.887	13.376	13.699	15.637	10.881	11.839
1810009A15Rik	23.929	14.331	29.394	34.153	12.049	16.521
1810010H24Rik	4.339	0.736	2.081	2.122	2.08	0.434
1810012P15Rik	20.488	16.661	20.867	21.18	25.215	25.15
1810013D10Rik	29.393	11.286	33.248	27.171	19.762	40.252
1810013L24Rik	37.424	26.097	38.86	35.25	41.332	36.098
1810014F10Rik	51.094	23.821	65.97	102.583	43.087	84.91
1810020D17Rik	37.716	18.653	50.618	42.365	30.663	35.716
1810020O05Rik	0.509	0.366	0.137	0.56	1.518	0.367
1810022K09Rik	122.164	37.781	102.77	159.215	42.53	86.72
1810024B03Rik	1.369	0.263	0.49	0.527	0.697	0.387
1810026B05Rik	0.904	0.455	1.497	1.365	0.743	1.106
1810026J23Rik	34.84	28.461	51.335	34.643	37.035	27.921
1810027O10Rik	61.522	16.581	47.144	66.138	23.767	55.56
1810029B16Rik	12.917	8.889	37.089	18.539	24.089	13.153
1810030N24Rik	17.091	6.733	15.951	22.298	8.699	13.431
1810030O07Rik	39.219	20.564	35.433	23.32	33.278	21.859
1810031K17Rik	5.205	5.081	3.867	6.971	6.965	6.586
1810035L17Rik	148.226	45.243	156.055	178.832	72.303	108.041
1810037I17Rik	59.277	29.808	77.741	75.808	46.143	70.609
1810041L15Rik	16.578	10.897	15.179	10.959	17.47	18.421
1810043G02Rik	17.706	6.966	17.802	11.107	9.477	8.719
1810043H04Rik	34.352	10.319	37.753	27.333	16.655	32.059
1810046J19Rik	119.571	61.601	158.608	231.45	79.9	228.381
1810048J11Rik	9.254	8.494	6.647	5.619	7.199	6.184
1810049H13Rik	6.302	3.294	8.009	4.322	2.825	2.002
1810055G02Rik	4.227	3.24	4.359	3.189	6.109	4.765
1810063B05Rik	30.147	8.617	30.257	30.587	16.353	29.634
1810063B07Rik	5.087	3.699	5.036	7.525	3.408	4.827
1810074P20Rik	7.415	7.819	6.887	3.771	10.269	4.25
2010002M12Rik	1.792	1.059	1.583	0.768	2.653	1.165
2010002N04Rik	2.27	0.528	3.146	2.644	3.622	1.585
2010005H15Rik	17.485	13.373	7.255	24.982	3.981	4.973
2010007H12Rik	12.213	8.321	13.664	16.954	9.4	15.088
2010011I20Rik	13.423	9.74	17.372	19.629	17.382	21.172
2010012O05Rik	45.019	15.325	47.611	40.81	37.486	39.863
2010015L04Rik	11.409	8.129	12.28	11.624	8.517	11.429
2010106G01Rik	7.063	3.891	5.21	2.344	7.911	4.524
2010107E04Rik	1058.089	402.54	1037.983	1743.016	365.289	1107.475
2010107G23Rik	27.706	16.569	39.723	27.205	18.688	20.07
2010109I03Rik	1.237	0.805	0.945	0.277	0.883	0.393
2010109K11Rik	6.27	4.713	6.83	5.757	6.609	6.142
2010111I01Rik	1.285	0.855	1.726	1.378	2.081	2.08
2010300C02Rik	5.427	5.32	5.644	6.154	16.93	18.212
2010305A19Rik	3.596	3.628	5.254	3.42	3.429	2.67
2010321M09Rik	8.529	7.19	10.027	10.877	11.031	13.282
2200002K05Rik	5.935	5.057	7.438	8.804	6.413	7.726
2210009G21Rik	3.088	2.76	3.71	1.902	3.617	6.087
2210010C04Rik	1.117	0.645	0.713	0.467	1.323	0.535
2210011C24Rik	0.137	0.148	1.33	0.689	0.338	0.296
2210012G02Rik	7.556	5.786	8.461	5.548	6.84	6.715
2210016F16Rik	9.597	9.213	8.455	9.301	7.804	7.463
2210016L21Rik	156.885	106.256	192.815	144.092	119.501	85.177
2210018M11Rik	14.769	10.686	13.838	10.434	19.746	14.491
2210021J22Rik	10.628	3.38	11.614	10.022	12.356	15.104
2210404J11Rik	1.428	2.505	2.869	3.06	3.487	2.164
2210404O07Rik	5.073	2.237	3.401	3.914	2.748	8.213
2210408I21Rik	5.006	5.033	4.573	2.858	5.501	3.547
2210411K11Rik	0.883	0.272	0.499	0.793	0.933	0.318
2300009A05Rik	24.831	9.321	32.064	26.203	17.13	14.039
2310001A20Rik	26.516	22.864	18.752	17.964	17.391	16.119
2310001H12Rik	22.096	10.078	18.168	8.918	15.34	13.608
2310003C23Rik	14.661	14.382	16.357	22.178	12.261	15.145
2310003F16Rik	158.809	73.435	198.846	179.945	107.622	119.176
2310003H01Rik	1.482	1.921	1.923	1.339	1.545	0.631
2310003L22Rik	31.689	23.821	47.977	50.552	30.395	41.05
2310004I24Rik	10.397	8.749	14.578	9.497	10.445	21.581
2310004N24Rik	23.512	18.701	32.051	35.892	22.703	37.36
2310007A19Rik	21.322	4.4	10.557	7.432	3.557	5.849
2310008H04Rik	0.482	0.396	0.242	0.419	0.993	1.112
2310008H09Rik	6.352	7.172	7.465	8.608	7.207	8.458
2310009B15Rik	35.176	8.093	42.769	37.222	22.043	19.131
2310010M20Rik	3.755	2.805	3.523	1.629	4.025	1.167
2310011J03Rik	10.109	7.007	11.529	14.017	6.076	12.192
2310014H01Rik	0.728	0.718	1.335	1.23	1.081	2.671
2310014L17Rik	0.839	0.265	0.457	0.437	0.454	0.398
2310016C08Rik	7.874	3.854	6.828	10.662	4.37	7.458
2310016M24Rik	119.559	57.855	133.725	243.936	63.456	179.922
2310021P13Rik	13.319	25.563	10.605	14.811	12.985	14.479
2310022A10Rik	14.124	9.637	15.832	10.002	8.308	6.518
2310022B05Rik	20.286	7.635	15.851	5.217	15.043	5.467
2310028H24Rik	35.314	46.857	39.747	54.362	51.324	57.458
2310028O11Rik	65.613	36.016	74.793	80.406	39.759	76.709
2310030G06Rik	3.609	1.747	2.962	2.013	2.643	1.313
2310030N02Rik	13.478	6.737	12.299	9.552	5.237	10.36
2310033P09Rik	20.585	14.181	21.412	18.105	11.792	11.82
2310035C23Rik	17.575	23.112	16.863	14.714	18.753	14.743
2310035K24Rik	9.814	10.38	15.555	50.754	9.398	30.747
2310036O22Rik	73.498	55.333	93.471	97.084	44.225	66.58
2310037I24Rik	11.781	13.638	13.948	17.381	14.513	23.919
2310039H08Rik	10.634	2.958	8.33	7.224	4.018	6.294
2310042D19Rik	0.536	0.989	0.706	0.792	0.76	0.472
2310044G17Rik	30.865	22.636	32.027	19.922	40.6	28.796
2310044H10Rik	62.216	36.187	38.441	42.595	30.813	36.465
2310045N01Rik	36.068	11.811	28.016	30.788	25.748	23.176
2310046A06Rik	2.22	0.701	2.455	3.337	4.808	6.976
2310046O06Rik	8.914	5.763	9.592	7.041	7.654	4.08
2310047B19Rik	7.469	2.942	5.865	5.238	4.331	3.411
2310047M10Rik	11.33	9.756	14.955	16.883	11.672	13.845
2310057J16Rik	4.646	6.912	4.044	4.794	5.101	4.322
2310057M21Rik	21.887	18.011	21.996	16.828	16.71	11.484
2310061C15Rik	17.263	14.193	18.98	37.333	9.233	31.271
2310061I04Rik	75.538	54.02	80.163	72.661	48.863	62.551
2310067B10Rik	4.259	4.568	2.301	4.054	3.774	3.915
2310079F23Rik	0.946	0.881	1.021	0.837	0.619	0.366
2310079N02Rik	12.569	4.249	13.793	9.381	9.482	6.897
2400001E08Rik	48.348	15.184	58.074	47.507	46.447	42.192
2400003C14Rik	28.899	25.184	26.069	18.648	31.478	24.931
2410001C21Rik	20.425	15.48	25.497	29.417	21.164	27.904
2410002F23Rik	34.917	32.594	28.879	42.221	21.663	33.213
2410002I01Rik	1.98	2.229	2.094	1.26	2.667	2.952
2410002O22Rik	44.52	39.913	43.241	34.224	33.873	30.958
2410003K15Rik	41.631	21.788	41.561	57.229	24.224	45.211
2410004B18Rik	28.623	18.959	35.614	31.288	27.551	21.136
2410015M20Rik	118.706	67.14	127.679	163.606	50.518	112.148
2410016O06Rik	3.899	6.864	5.408	5.4	4.645	5.673
2410017P07Rik	2.111	0.991	3.107	1.765	3.791	1.185
2410022L05Rik	184.486	53.107	138.395	133.545	68.211	105.337
2410042D21Rik	6.967	4.726	7.329	4.683	8.561	5.559
2410066E13Rik	12.25	7.94	20.083	10.236	20.839	8.704
2410075B13Rik	4.755	1.658	5.223	2.512	5.203	3.897
2410076I21Rik	1.276	0.755	1.729	2.265	0.555	0.972
2410089E03Rik	5.414	6.567	5.135	3.073	6.969	2.265
2410091C18Rik	23.473	18.432	25.016	18.173	26.857	11.883
2410127L17Rik	3.767	3.367	3.303	2.508	3.591	1.709
2410131K14Rik	6.629	4.443	5.002	4.526	3.755	3.716
2500003M10Rik	97.75	89.693	117.21	162.513	94.979	149.864
2510002D24Rik	16.185	10.248	18.773	16.309	11.645	10.881
2510003E04Rik	64.064	72.908	74.788	58.702	75.03	67.366
2510006D16Rik	46.5	24.763	39.885	43.081	53.216	43.557
2510009E07Rik	23.966	14.171	23.092	12.702	25.819	18.909
2510012J08Rik	6.546	17.997	9.263	10.25	6.141	11.803
2510039O18Rik	4.321	4.675	4.611	5.066	3.851	5.712
2510049J12Rik	2.847	1.986	3.699	1.857	3.935	1.687
2610002I17Rik	9.333	9.455	15.117	9.852	7.046	12.665
2610002J02Rik	39.429	13.194	35.64	31.992	18.129	25.314
2610002M06Rik	40.504	26.897	38.583	25.852	45.07	27.079
2610008E11Rik	5.909	3.391	5.831	2.286	7.589	2.933
2610015P09Rik	1.128	1.007	2.396	0.961	2.199	1.493
2610018G03Rik	5.048	4.221	2.754	2.863	4.855	4.226
2610019F03Rik	24.007	15.358	30.733	19.052	24.755	32.77
2610020H08Rik	0.405	0.825	0.92	0.233	0.571	0.426
2610024G14Rik	13.097	12.102	17.025	21.244	15.568	18.683
2610027L16Rik	3.034	2.781	5.701	3.656	6.242	3.534
2610029G23Rik	10.504	7.604	10.272	10.948	8.631	7.413
2610029I01Rik	25.93	13.078	31.842	21.683	27.795	22.557
2610030H06Rik	14.929	9.553	12.981	10.004	15.012	13.394
2610034B18Rik	7.954	6.759	9.848	7.785	9.78	5.713
2610039C10Rik	1.479	0.293	2.862	1.218	3.521	2.128
2610101N10Rik	16.212	23.89	13.636	12.745	20.447	12.73
2610109H07Rik	0.685	0.813	0.697	0.296	1.463	0.276
2610110G12Rik	59.446	38.485	68.228	56.326	91.272	69.099
2610206C17Rik	0.309	0.388	0.389	0.534	0.539	0.139
2610301B20Rik	24.796	17.169	24.839	17.692	22.258	17.303
2610301G19Rik	9.143	14.297	13.134	13.43	11.883	10.261
2610305D13Rik	0.729	0.399	0.961	0.138	1.179	0.667
2610318N02Rik	1.728	0.151	1.243	0.329	0.99	2.751
2610507B11Rik	25.997	25.226	20.686	14.043	27.138	17.734
2610524H06Rik	17.073	10.259	16.747	13.036	10.062	10.736
2610528E23Rik	15.171	10.415	12.79	16.656	8.096	6.396
2700007P21Rik	32.347	24.195	38.616	25.372	36.385	27.384
2700029M09Rik	68.307	32.097	56.971	58.126	37.998	30.041
2700049A03Rik	1.668	1.686	1.509	2.031	2.401	2.591
2700050L05Rik	5.39	8.827	5.772	4.216	8.064	4.709
2700060E02Rik	85.394	51.016	92.175	82.944	46.326	44.868
2700062C07Rik	21.583	13.619	26.057	30.044	14.414	23.841
2700078E11Rik	29.856	25.871	31.413	22.152	28.254	24.57
2700078K21Rik	12.02	5.988	10.614	11.621	8.158	10.386
2700081O15Rik	6.75	4.116	6.052	4.611	9.458	11.196
2700089E24Rik	109.672	33.287	115.566	43.551	108.627	45.288
2700094K13Rik	83.339	19.263	81.079	97.144	22.597	68.164
2700097O09Rik	9.299	5.432	6.734	4.978	10.799	4.403
2810002N01Rik	50.317	16.062	53.431	38.308	36.004	34.517
2810004N23Rik	23.935	12.548	24.988	24.305	17.545	16.706
2810006K23Rik	25.675	9.169	20.612	14.228	21.531	23.841
2810008M24Rik	18.315	8.741	18.859	16.858	15.785	23.083
2810021B07Rik	11.329	6.449	10.008	6.172	12.507	7.228
2810021G02Rik	3.044	1.244	2.81	1.664	4.222	2.254
2810021J22Rik	2.729	3.117	4.219	3.15	3.304	2.295
2810026P18Rik	10.685	3.698	10.821	16.504	8.837	7.499
2810030E01Rik	1.781	1.169	1.597	2.273	1.53	2.865
2810046L04Rik	6.489	5.579	6.038	4.803	6.961	6.767
2810055F11Rik	3.966	3.018	3.637	4.791	3.356	6.855
2810403A07Rik	23.275	23.622	20.755	18.065	25.89	17.322
2810405K02Rik	98.125	30.649	123.528	67.104	57.68	34.759
2810407C02Rik	84.932	39.466	81.672	45.004	66.471	43.697
2810408M09Rik	10.507	6.48	9.466	8.285	7.861	13.602
2810408P10Rik	10.446	6.585	8.578	5.035	9.349	3.574
2810417H13Rik	1.152	0.937	0.821	0.291	1.425	0.588
2810422J05Rik	39.196	13.282	37.892	25.567	21.374	22.36
2810422O20Rik	4.914	3.433	5.238	4.004	4.039	3.339
2810428I15Rik	68.812	24.51	80.295	113.923	42.296	88.87
2810432D09Rik	28.76	19.931	30.472	36.757	17.47	22.003
2810432L12Rik	13.445	15.476	12.392	12.713	10.101	11.274
2810453I06Rik	13.074	10.212	15.705	21.626	12.627	14.29
2810459M11Rik	1.514	0.916	1.477	1.051	1.391	0.244
2810474O19Rik	5.148	5.781	6.157	3.377	5.734	4.249
2900006K08Rik	1.697	0.734	1.159	0.235	1.569	0.511
2900010J23Rik	211.643	71.214	163.216	221.07	81.944	158.821
2900010M23Rik	132.719	53.987	140.976	219.385	47.806	132.013
2900011O08Rik	185.048	98.156	207.379	177.103	175.262	189.695
2900026A02Rik	10.086	27.661	8.366	19.014	9.956	14.642
2900055J20Rik	10.128	7.775	4.637	5.885	4.099	21.919
2900062L11Rik	40.783	33.286	30.136	27.578	24.304	26.628
2900064A13Rik	54.293	37.998	45.785	40.586	37.206	43.341
2900073G15Rik	10.348	6.377	10.462	15.859	8.877	9.957
2900092E17Rik	25.07	18.22	28.578	47.282	14.394	19.527
3010026O09Rik	22.852	9.236	26.861	12.868	18.927	11.298
3100002H09Rik	0.274	0.197	0.316	0.137	0.648	0.274
3110001D03Rik	36.175	13.923	33.296	69.38	18.339	57.084
3110001I22Rik	1.152	1.977	1.717	1.449	1.218	1.096
3110002H16Rik	10.275	14.484	9.87	15.604	8.87	12.267
3110003A17Rik	14.24	11.469	15.428	30.664	10.292	21.849
3110007F17Rik	2.575	0.673	2.333	2.252	3.494	1.295
3110009E18Rik	4.107	1.153	3.486	1.563	0.271	4.1
3110018I06Rik	0.734	0.477	0.543	0.667	1.181	0.525
3110021N24Rik	0.637	1.008	0.703	0.748	0.838	1.804
3110035E14Rik	9.693	4.096	11.659	14.567	9.848	16.689
3110040N11Rik	20.421	7.838	22.875	23.925	16.213	25.549
3110043O21Rik	14.365	15.82	14.05	14.048	11.075	11.366
3110047P20Rik	2.337	5.657	2.385	3.973	2.661	3.229
3110052M02Rik	10.765	7.85	9.909	8.83	10.197	5.963
3110056O03Rik	1.155	1.096	1.031	1.191	1.671	1.247
3110057O12Rik	5.107	4.684	5.034	4.381	5.794	3.962
3110062M04Rik	1.585	0.433	1.278	1.231	0.702	0.82
3110079O15Rik	3.731	1.134	0.206	6.314	1.061	16.314
3110082D06Rik	0.808	0.62	0.748	0.46	1.083	1.267
3110082I17Rik	15.063	6.668	15.662	8.236	11.804	11.313
3200002M19Rik	9.209	7.036	17.67	18.36	11.661	12.955
3230401D17Rik	13.793	8.845	15.574	13.874	12.104	9.498
3300002I08Rik	3.791	1.293	1.39	1.073	1.589	0.491
3632451O06Rik	3.618	4.352	3.697	2.669	3.747	2.673
3830406C13Rik	17.863	7.217	18.596	14.8	16.002	13.327
3830431G21Rik	2.002	1.187	1.53	1.891	1.889	0.984
4430402I18Rik	2.654	0.708	3.103	0.658	3.245	4.564
4631416L12Rik	3.732	2.792	3.83	2.434	4.187	2.319
4632411B12Rik	14.117	15.193	16.244	7.722	19.304	10.772
4632415K11Rik	1.416	0.87	0.927	1.781	1.185	0.871
4732415M23Rik	1.536	0.368	4.052	3.701	1.473	0.737
4732418C07Rik	14.969	15.256	12.802	11.068	18.587	12.047
4732471D19Rik	5.851	9.112	5.992	4.207	6.311	3.833
4833420G17Rik	14.065	14.543	18.134	14.371	18.406	17.032
4833423E24Rik	1.692	0.707	0.623	1.83	1.649	0.368
4833424O15Rik	4.59	7.151	3.916	7.049	5.672	8.316
4833439L19Rik	90.072	41.712	85.955	59.372	84.286	68.634
4833442J19Rik	5.113	1.902	4.97	3.835	3.884	1.743
4921507P07Rik	1.505	0.388	0.94	1.214	0.794	0.347
4921513D23Rik	42.48	29.487	45.326	17.574	59.946	21.413
4921513I03Rik	2.307	1.796	2.083	0.843	3.144	1.595
4921515J06Rik	0.447	0.173	0.386	0.389	0.701	0.955
4921517L17Rik	1.561	0.409	1.787	0.839	1.611	2.198
4921523A10Rik	1.579	0.884	1.905	1.459	1.232	1.784
