Gene	WC1_INPUT	WC1_IP	WC2_INPUT	WC2_IP	WC3_INPUT	WC3_IP
Mib1	14.121	28.487	14.386	17.206	20.614	25.316
Mib2	5.975	13.607	9.557	14.897	6.693	11.155
Mical1	0.384	0.898	0.525	0.918	0.537	1.175
Mical2	6.679	16.807	7.981	10.597	7.96	9.161
Mical3	6.78	11.194	6.774	6.768	8.83	7.351
Micall1	8.277	7.815	8.496	5.55	10.829	3.869
Micall2	1.327	1.281	0.727	0.324	0.782	0.927
Mid1	8.657	4.28	6.529	3.663	7.87	7.061
Mid1ip1	66.567	46.427	61.668	61.893	34.768	44.244
Mid2	19.318	14.181	18.447	14.3	21.948	15.538
Midn	21.238	42.644	16.375	63.411	17.442	79.671
Mier1	8.521	5.168	8.791	3.994	9.374	3.432
Mier2	5.511	4.389	5.678	3.383	4.615	7.466
Mier3	6.042	5.67	5.948	2.78	6.804	3.77
Mif	1027.065	657.561	1007.097	1537.228	419.107	1037.723
Mif4gd	3.042	2.043	3.543	3.674	2.863	1.901
Miip	2.742	0.71	2.394	1.425	2.224	0.789
Mina	2.95	3.382	3.307	4.442	4.056	4.816
Mink1	9.968	22.72	11.16	11.942	18.792	11.335
Minpp1	16.51	12.556	16.659	10.884	18.112	16.286
Mios	7.729	8.397	10.158	5.894	11.147	5.523
Mipep	14.492	11.346	13.124	11.605	11.912	9.299
Mipol1	2.246	2.369	3.532	4.174	5.928	3.656
Mis12	13.282	12.41	14.157	17.206	15.71	18.505
Mitd1	6.095	4.807	7.374	5.425	5.409	2.601
Mitf	1.325	1.442	1.662	0.989	2.197	3.014
Mki67ip	22.085	16.828	21.431	23.676	15.995	12.039
Mkks	12.107	6.809	11.378	18.283	9.346	21.647
Mkl1	11.525	12.96	9.483	10.279	18.076	20.905
Mkl2	51.222	45.797	44.851	35.794	57.632	56.291
Mkln1	21.257	26.561	21.598	15.713	28.869	17.962
Mknk1	3.882	1.987	4.515	3.611	3.781	2.774
Mknk2	4.47	3.755	3.573	4.154	3.354	3.574
Mkrn1	32.445	26.92	38.405	41.646	46.155	52.56
Mkrn2	20.233	12.658	24.141	13.723	22.469	14.497
Mks1	1.187	1.223	1.36	0.677	1.88	2.316
Mkx	4.763	2.009	3.993	3.697	4.613	6.497
Mlc1	9.307	5.748	4.956	2.255	5.451	1.434
Mlec	17.896	16.708	15.315	12.769	18.332	11.135
Mlf1ip	0.731	0.183	0.173	0.173	0.846	0.887
Mlf2	211.038	149.428	190.965	198.965	130.89	180.786
Mlh1	3.317	2.989	4.204	4.62	5.621	3.085
Mlh3	9.891	6.533	7.591	5.207	11.867	5.785
Mll1	16.716	17.387	10.74	8.131	19.045	12.542
Mll2	10.788	11.806	6.827	7.037	12.231	9.672
Mll3	10.822	15.043	8.265	7.624	14.064	10.544
Mll5	33.753	32.628	30.349	26.889	51.143	30.782
Mllt1	7.696	5.65	7.758	4.873	7.836	6.556
Mllt10	9.361	8.717	9.489	5.629	11.542	11.286
Mllt11	248.441	199.025	218.196	338.02	197.424	408.91
Mllt3	16.47	12.083	15.149	11.521	16.491	12.761
Mllt4	10.595	15.945	11.319	8.196	14.568	9.394
Mllt6	6.404	8.054	6.066	4.084	8.941	6.737
Mlst8	7.142	4.736	5.338	4.465	4.004	3.081
Mlx	10.686	11.662	12.519	14.222	7.527	10.34
Mlxip	4.999	3.514	3.379	2.273	4.998	2.842
Mlycd	12.848	10.64	12.401	9.327	11.235	5.997
Mmaa	6.552	4.91	10.033	5.629	10.886	8.608
Mmab	11.013	5.875	13.033	7.495	20.839	6.734
Mmachc	94.294	46.568	118.893	11.872	215.382	20.427
Mmadhc	71.89	78.598	98.619	83.989	67.461	68.146
Mmd	23.467	7.591	23.714	11.182	20.251	13.033
Mmd2	20.748	10.207	18.039	7.919	14.999	10.598
Mme	2.642	1.258	3.589	2.477	7.556	4.703
Mmel1	0.519	0.357	0.26	0.397	0.445	2.729
Mmgt1	7.005	3.645	5.875	3.729	7.371	3.915
Mmgt2	4.189	1.999	4.56	3.63	2.315	1.672
Mmp11	1.21	0.212	0.467	0.223	0.267	0.318
Mmp15	2.153	2.572	2.029	4.071	2.356	3.278
Mmp16	7.161	5.572	6.875	3.861	8.669	4.962
Mmp17	12.597	8.807	10.363	5.709	14.93	13.494
Mmp2	0.61	0.125	0.141	0.356	0.412	0.361
Mmp23	0.462	0.698	0.565	0.116	0.19	0.333
Mmp24	23.534	16.25	28.636	28.138	15.901	18.642
Mmp9	0.232	0.41	0.441	0.345	0.191	1.322
Mms19	5.862	5.388	4.596	4.589	5.297	3.858
Mn1	5.398	8.334	5.681	11.003	9.79	16.215
Mnat1	11.061	8.577	14.338	10.647	12.616	11.883
Mnd1	1.289	0.6	1.474	2.67	1.247	1.092
Mns1	2.311	1.002	2.508	0.923	0.814	0.95
Mnt	10.942	9.516	10.172	8.124	9.861	7.78
Moap1	14.049	16.849	5.488	11.839	8.791	12.014
Mobkl1a	6.627	4.207	6.994	4.81	11.014	7.326
Mobkl1b	2.504	2.532	2.046	1.761	1.814	0.916
Mobkl2a	7.282	4.657	6.69	5.245	4.621	3.379
Mobkl2b	0.64	1.66	1.622	1.715	2.493	3.144
Mobkl2c	7.371	5.166	6.444	1.87	9.191	4.774
Mobkl3	58.174	44.376	62.265	35.44	60.525	34.979
Mobp	157.482	35.51	192.784	38.053	217.133	47.868
Mocs1	2.043	2.349	2.796	1.141	3.431	2.526
Mocs2	72.527	44.644	86.304	79.651	81.078	80.565
Mocs3	0.355	0.566	0.425	0.297	0.421	0.34
Mog	20.737	5.498	28.753	2.783	21.514	5.254
Mogs	4.26	4.73	2.721	4.935	2.774	2.273
